rcid,session,vote,ccode
3,1,9,55
3,1,9,692
4,1,9,52
4,1,3,150
4,1,9,437
4,1,9,830
5,1,3,212
5,1,9,355
5,1,9,947
6,1,8,41
6,1,9,339
6,1,9,366
7,1,1,135
7,1,9,352
7,1,3,900
8,1,9,372
8,1,9,516
8,1,1,651
8,1,9,946
9,1,1,40
9,1,9,402
9,1,9,490
9,1,1,750
10,1,1,140
10,1,9,325
10,1,9,552
11,1,9,380
11,1,9,451
11,1,9,452
11,1,1,645
11,1,9,946
11,1,9,990
12,1,1,2
12,1,9,438
12,1,9,484
12,1,9,790
13,1,9,371
13,1,9,955
14,1,9,368
14,1,9,471
14,1,9,481
14,1,9,702
14,1,9,935
15,1,9,663
15,1,9,775
16,1,9,349
16,1,9,540
16,1,9,570
16,1,9,780
17,1,9,235
17,1,9,344
17,1,9,452
17,1,9,591
17,1,9,790
18,1,9,53
18,1,3,140
18,1,9,520
18,1,9,626
19,1,1,41
19,1,9,352
19,1,9,404
20,1,9,540
20,1,9,552
21,1,9,52
21,1,9,53
22,1,3,94
22,1,3,212
22,1,9,990
23,1,1,220
23,1,9,316
23,1,9,338
23,1,1,530
23,1,9,702
24,1,9,626
25,1,1,135
25,1,9,305
25,1,9,344
25,1,9,439
25,1,9,510
26,1,9,56
26,1,3,900
27,1,1,210
28,1,9,541
28,1,9,571
28,1,9,935
29,1,9,338
29,1,9,475
29,1,9,551
30,1,9,551
31,1,3,290
31,1,3,370
31,1,9,373
31,1,9,678
32,1,9,232
33,1,1,200
33,1,9,349
33,1,1,560
33,1,9,696
33,1,9,983
34,1,9,56
34,1,1,91
34,1,1,92
35,1,9,366
35,1,9,372
35,1,9,946
35,1,9,947
36,1,9,56
36,1,9,80
36,1,9,230
37,1,9,310
37,1,3,750
37,1,9,770
37,1,9,850
38,1,1,165
39,1,1,140
39,1,1,651
39,1,1,750
39,1,9,830
39,1,9,835
39,1,9,910
40,1,9,551
40,1,9,552
40,1,9,678
40,1,9,835
41,1,9,54
41,1,9,812
42,1,9,368
42,1,9,987
43,1,9,54
43,1,9,946
44,1,9,56
44,1,1,212
44,1,9,325
44,1,9,355
44,1,9,482
44,1,9,500
44,1,9,571
44,1,9,620
44,1,9,770
46,2,1,90
46,2,1,385
46,2,2,530
46,2,9,580
46,2,9,626
46,2,1,640
46,2,9,781
46,2,9,850
47,2,9,58
47,2,9,483
47,2,9,581
48,2,9,58
48,2,9,620
49,2,3,135
49,2,1,369
49,2,1,370
49,2,9,540
49,2,9,551
49,2,9,811
50,2,9,54
50,2,9,110
50,2,9,344
50,2,9,355
50,2,9,531
51,2,9,58
51,2,9,205
51,2,9,452
51,2,9,461
51,2,9,551
51,2,9,731
51,2,9,983
52,2,9,31
52,2,1,93
52,2,9,325
52,2,9,339
52,2,9,571
52,2,9,581
52,2,9,816
53,2,9,771
53,2,9,780
54,2,1,651
55,2,1,40
55,2,9,80
55,2,3,210
55,2,9,352
55,2,9,626
55,2,9,704
56,2,9,58
56,2,1,160
56,2,9,260
56,2,3,369
56,2,2,840
56,2,9,910
56,2,9,970
57,2,9,235
57,2,9,343
57,2,9,432
58,2,3,2
58,2,9,58
58,2,9,235
58,2,9,475
58,2,9,790
58,2,1,840
59,2,9,349
59,2,9,591
59,2,9,600
59,2,9,680
60,2,2,155
60,2,9,403
60,2,9,411
60,2,9,451
61,2,9,483
61,2,9,572
61,2,9,830
61,2,9,935
62,2,9,690
62,2,9,781
63,2,8,150
63,2,9,517
63,2,9,541
63,2,9,616
63,2,9,626
63,2,9,816
64,2,1,135
64,2,9,317
64,2,9,438
64,2,9,625
65,2,1,135
65,2,1,380
65,2,9,517
65,2,9,553
65,2,9,702
66,2,9,52
66,2,9,433
66,2,9,471
66,2,9,511
66,2,1,770
67,2,1,94
67,2,1,100
68,2,9,225
68,2,2,660
68,2,2,670
68,2,9,811
69,2,1,90
69,2,2,100
69,2,3,160
69,2,9,471
69,2,9,500
70,2,3,42
70,2,9,110
70,2,9,260
70,2,9,316
70,2,9,703
71,2,9,517
71,2,9,522
71,2,9,615
71,2,9,705
72,2,3,41
72,2,3,70
72,2,1,135
72,2,9,371
72,2,1,385
72,2,3,660
73,2,1,370
73,2,9,372
73,2,9,375
73,2,9,411
73,2,9,830
75,2,9,58
75,2,1,140
75,2,9,820
76,2,9,265
76,2,1,385
76,2,9,625
76,2,9,712
77,2,9,553
77,2,9,970
9001,2,8,212
9001,2,3,390
9001,2,9,600
9002,2,2,90
9002,2,9,205
9002,2,9,600
9002,2,9,626
9003,2,9,223
9003,2,9,355
9003,2,9,704
9003,2,9,771
9003,2,9,935
9003,2,9,970
9004,2,9,411
9004,2,9,436
9004,2,9,438
9005,2,9,56
9005,2,9,471
9005,2,9,572
9006,2,8,41
9006,2,1,92
9006,2,9,572
9006,2,9,987
78,3,9,51
78,3,9,591
79,3,9,317
79,3,9,935
79,3,9,987
80,3,8,94
80,3,9,359
80,3,9,983
81,3,1,20
81,3,1,40
81,3,9,80
81,3,9,420
81,3,9,438
81,3,9,482
81,3,9,483
81,3,9,590
81,3,9,946
83,3,9,260
83,3,8,560
83,3,9,705
83,3,9,850
84,3,1,160
84,3,9,990
85,3,9,53
85,3,8,94
85,3,9,110
85,3,9,343
85,3,9,701
85,3,8,800
85,3,3,920
85,3,9,935
85,3,9,983
86,3,9,115
86,3,9,710
87,3,1,101
87,3,9,433
87,3,9,517
87,3,9,531
87,3,9,551
87,3,9,698
88,3,1,90
88,3,9,420
88,3,9,703
88,3,9,771
89,3,9,235
89,3,9,260
89,3,9,461
90,3,1,94
90,3,9,731
91,3,9,366
91,3,1,700
91,3,9,820
91,3,9,935
91,3,9,983
92,3,9,483
93,3,9,57
93,3,8,130
93,3,2,630
93,3,9,771
94,3,9,572
94,3,9,712
95,3,9,317
95,3,9,355
95,3,2,450
95,3,9,482
95,3,2,530
95,3,9,790
95,3,9,970
96,3,9,223
96,3,9,325
96,3,9,331
96,3,9,404
96,3,9,946
97,3,3,92
97,3,9,349
97,3,9,615
98,3,3,20
98,3,9,355
99,3,9,58
99,3,9,403
99,3,9,436
99,3,2,645
100,3,9,590
101,3,9,55
101,3,9,461
101,3,9,940
102,3,9,481
102,3,9,680
103,3,9,230
103,3,3,380
103,3,9,935
104,3,1,345
104,3,9,551
105,3,9,52
105,3,9,55
105,3,1,165
105,3,2,369
105,3,9,404
105,3,9,571
105,3,9,600
105,3,1,652
106,3,9,221
106,3,9,260
106,3,3,290
106,3,9,317
107,3,9,317
107,3,9,433
107,3,9,434
107,3,9,690
108,3,3,2
108,3,9,367
108,3,9,461
109,3,9,484
109,3,9,680
109,3,9,698
110,3,3,93
110,3,9,986
111,3,2,135
111,3,9,317
111,3,9,368
111,3,9,692
111,3,9,970
112,3,9,581
112,3,9,625
112,3,9,701
113,3,9,31
113,3,3,42
113,3,9,110
113,3,9,970
114,3,9,694
115,3,9,310
115,3,9,484
115,3,9,565
116,3,9,205
116,3,9,316
116,3,9,411
117,3,8,92
117,3,1,212
117,3,9,438
117,3,9,482
117,3,9,553
117,3,9,591
117,3,9,680
117,3,9,950
118,3,3,20
118,3,3,200
118,3,9,471
119,3,3,40
119,3,9,339
119,3,9,540
119,3,2,700
119,3,9,910
120,3,9,331
120,3,9,461
120,3,9,551
120,3,9,950
121,3,3,2
121,3,2,91
121,3,3,93
121,3,3,210
121,3,1,345
121,3,9,703
121,3,3,800
121,3,9,983
122,3,9,704
123,3,9,230
123,3,9,339
123,3,9,367
123,3,9,434
123,3,3,640
123,3,9,705
123,3,9,987
124,3,3,40
124,3,3,150
124,3,2,160
124,3,3,220
124,3,9,663
125,3,9,339
126,3,9,55
126,3,9,223
126,3,9,373
126,3,9,490
126,3,9,600
127,3,9,316
127,3,9,368
127,3,9,404
127,3,9,950
128,3,9,265
128,3,1,315
129,3,9,435
129,3,9,475
130,3,9,367
131,3,3,369
131,3,9,371
132,3,1,345
132,3,9,451
132,3,9,830
133,3,1,41
133,3,1,70
133,3,9,205
134,3,9,60
134,3,9,581
134,3,1,630
135,3,9,51
135,3,9,420
135,3,9,500
135,3,9,816
136,3,9,696
136,3,9,701
136,3,9,811
136,3,1,900
137,3,1,100
137,3,1,160
137,3,9,481
137,3,9,531
137,3,3,670
137,3,3,678
137,3,9,940
137,3,9,970
137,3,9,990
138,3,9,331
138,3,9,451
138,3,9,552
139,3,9,471
139,3,9,565
139,3,9,571
139,3,2,640
140,3,3,200
140,3,2,220
140,3,9,404
140,3,9,694
140,3,9,830
141,3,9,712
142,3,9,31
142,3,8,92
142,3,9,343
143,3,9,54
143,3,1,395
143,3,8,530
143,3,9,570
143,3,9,616
144,3,3,370
144,3,9,511
144,3,9,520
144,3,2,670
144,3,9,760
145,3,9,58
145,3,1,200
145,3,9,461
145,3,9,616
146,3,9,56
146,3,1,210
146,3,9,310
146,3,8,395
146,3,9,471
147,3,9,316
147,3,9,590
148,3,9,52
148,3,9,55
148,3,9,225
148,3,9,483
148,3,9,484
148,3,9,520
148,3,9,696
148,3,9,947
149,3,3,315
149,3,3,365
149,3,9,541
149,3,9,850
149,3,9,970
150,3,9,439
150,3,9,571
150,3,1,900
151,3,2,20
152,3,3,42
152,3,9,60
152,3,3,91
152,3,9,375
152,3,9,663
152,3,2,670
152,3,9,830
153,3,9,520
153,3,9,986
154,3,9,343
154,3,9,616
154,3,9,970
155,3,3,160
155,3,9,359
155,3,9,712
156,3,9,437
156,3,2,530
157,3,9,115
157,3,3,395
157,3,2,530
157,3,9,553
158,3,9,110
158,3,9,360
158,3,9,570
159,3,1,345
159,3,9,694
159,3,9,970
160,3,3,150
160,3,1,670
160,3,1,775
161,3,3,90
161,3,9,572
162,3,9,572
162,3,9,712
163,3,9,223
163,3,9,482
164,3,1,101
164,3,9,910
165,3,9,551
165,3,2,651
165,3,9,710
166,3,9,110
166,3,9,572
166,3,9,690
166,3,9,940
167,3,9,481
168,3,9,221
168,3,9,435
168,3,9,571
168,3,9,955
169,3,9,359
169,3,3,369
169,3,9,811
170,3,9,223
170,3,9,366
170,3,9,484
170,3,9,571
171,3,9,60
172,3,3,220
172,3,9,316
172,3,9,317
172,3,9,338
172,3,9,355
172,3,1,750
173,3,9,484
173,3,9,702
173,3,3,900
173,3,9,950
174,3,3,160
174,3,9,438
9007,3,9,57
9007,3,9,531
9007,3,9,712
9008,3,2,40
9008,3,9,565
9009,3,9,51
9009,3,9,349
9009,3,2,385
9009,3,1,560
9009,3,9,830
9009,3,9,940
9010,3,9,510
9011,3,1,2
9011,3,9,552
9011,3,9,820
9012,3,9,60
9013,3,2,70
9013,3,1,450
175,4,9,221
175,4,9,434
175,4,9,483
175,4,3,560
176,4,9,54
176,4,1,155
176,4,9,366
176,4,9,591
177,4,3,41
177,4,1,560
177,4,3,900
177,4,9,983
178,4,9,663
178,4,9,696
179,4,1,370
179,4,9,696
179,4,9,830
180,4,9,260
180,4,9,310
181,4,9,55
181,4,9,402
182,4,1,93
182,4,9,452
182,4,9,517
182,4,9,553
182,4,9,701
182,4,9,811
182,4,9,812
183,4,8,92
183,4,9,620
183,4,9,696
183,4,3,713
184,4,9,520
184,4,2,630
185,4,3,211
185,4,9,436
185,4,9,760
186,4,9,260
186,4,9,359
186,4,9,360
186,4,9,403
186,4,9,434
187,4,3,70
187,4,9,338
187,4,9,696
188,4,3,145
188,4,9,310
189,4,9,511
189,4,9,516
189,4,3,800
190,4,9,349
190,4,9,434
190,4,9,702
191,4,9,590
192,4,3,40
192,4,9,58
192,4,3,200
192,4,9,260
192,4,9,402
192,4,9,703
193,4,9,230
194,4,9,232
194,4,9,360
194,4,9,436
195,4,3,345
195,4,9,367
195,4,9,510
196,4,9,482
196,4,9,553
196,4,9,760
196,4,9,970
197,4,9,510
197,4,1,560
198,4,9,54
198,4,8,90
198,4,9,402
198,4,9,404
199,4,3,800
200,4,3,220
200,4,9,461
200,4,9,510
200,4,9,591
200,4,9,835
201,4,1,290
201,4,9,439
201,4,2,530
201,4,9,590
201,4,9,705
202,4,8,150
202,4,3,165
202,4,9,701
202,4,9,704
202,4,3,840
202,4,9,950
202,4,9,955
203,4,1,315
203,4,9,451
203,4,1,660
203,4,9,701
203,4,9,780
204,4,9,437
204,4,9,511
205,4,9,344
205,4,9,696
206,4,9,221
206,4,9,481
206,4,9,694
207,4,9,223
207,4,9,346
207,4,1,370
207,4,9,552
207,4,9,565
207,4,9,626
207,4,9,705
207,4,9,860
208,4,9,55
208,4,2,135
208,4,9,317
208,4,9,591
208,4,9,698
209,4,8,94
209,4,9,692
209,4,9,705
210,4,9,438
210,4,9,552
210,4,9,591
211,4,9,55
211,4,9,375
211,4,2,395
211,4,9,434
211,4,9,771
213,4,9,325
213,4,9,541
214,4,1,90
214,4,3,380
214,4,1,450
214,4,9,986
215,4,9,316
215,4,9,344
215,4,9,403
216,4,9,51
216,4,3,315
216,4,9,339
216,4,9,565
216,4,2,630
217,4,9,541
217,4,9,771
218,4,1,315
218,4,9,436
218,4,9,437
218,4,1,775
219,4,2,160
219,4,9,615
219,4,9,731
221,4,2,210
221,4,3,212
221,4,9,712
222,4,1,41
222,4,3,200
222,4,9,451
223,4,2,93
223,4,9,223
223,4,9,310
223,4,9,352
223,4,9,368
223,4,1,678
224,4,8,150
224,4,9,531
224,4,9,625
224,4,1,750
224,4,9,983
225,4,9,230
225,4,9,531
225,4,9,540
225,4,9,565
225,4,9,860
225,4,9,950
226,4,2,210
226,4,9,433
226,4,9,571
226,4,9,694
226,4,9,947
227,4,9,115
227,4,9,375
227,4,9,517
228,4,9,310
228,4,9,367
228,4,9,590
228,4,9,811
228,4,9,816
229,4,9,58
229,4,1,140
229,4,3,390
229,4,9,437
229,4,9,812
230,4,1,140
230,4,9,553
230,4,9,625
230,4,9,701
231,4,9,451
231,4,9,580
232,4,9,360
232,4,3,385
232,4,9,438
232,4,9,581
232,4,9,626
233,4,9,31
233,4,9,565
233,4,9,850
234,4,9,331
234,4,9,338
235,4,9,338
235,4,9,352
236,4,1,350
236,4,9,373
236,4,9,375
237,4,9,51
237,4,9,541
237,4,9,571
237,4,2,920
238,4,9,305
238,4,9,310
238,4,9,402
238,4,2,640
238,4,9,701
238,4,9,830
239,5,3,100
239,5,3,212
239,5,1,315
239,5,9,451
239,5,9,812
240,5,9,305
240,5,1,365
240,5,1,700
241,5,9,60
241,5,9,372
241,5,9,680
242,5,2,160
242,5,9,325
242,5,9,704
243,5,9,56
243,5,9,225
243,5,9,235
243,5,9,517
243,5,9,812
243,5,3,840
244,5,1,315
244,5,9,331
244,5,9,343
244,5,3,750
245,5,3,212
245,5,2,652
246,5,9,223
246,5,9,490
246,5,9,712
246,5,9,812
247,5,2,160
247,5,9,230
247,5,9,692
247,5,9,694
247,5,3,920
247,5,9,955
249,5,9,56
249,5,1,678
250,5,9,265
250,5,9,411
250,5,9,553
250,5,9,580
250,5,9,690
251,5,3,211
251,5,9,367
251,5,9,616
251,5,9,696
251,5,9,760
252,5,1,200
252,5,9,343
252,5,9,411
252,5,9,490
252,5,9,701
252,5,9,712
253,5,9,540
253,5,9,731
253,5,2,775
254,5,1,20
254,5,1,560
254,5,9,565
254,5,9,983
255,5,1,95
255,5,9,620
256,5,2,145
256,5,9,367
256,5,9,404
256,5,9,616
256,5,2,800
257,5,1,100
257,5,3,370
257,5,9,516
257,5,9,710
257,5,1,713
258,5,3,150
258,5,9,452
258,5,9,553
259,5,9,615
259,5,2,900
260,5,9,223
