index ,        name , party , state ,bill-1,bill-4,bill-5,bill-6,bill-7,bill-8,bill-9,bill-10,bill-20,bill-26,bill-32,bill-38,bill-39,bill-44,bill-47
0,   Alexander ,     R ,    TN ,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
1,      Ayotte ,     R ,    NH ,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
2,     Baldwin ,     D ,    WI ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
3,    Barrasso ,     R ,    WY ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
4,      Bennet ,     D ,    CO ,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
5,  Blumenthal ,     D ,    CT ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
6,       Blunt ,     R ,    MO ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
7,      Booker ,     D ,    NJ ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
8,     Boozman ,     R ,    AR ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
9,       Boxer ,     D ,    CA ,0.5,0,0,1,0,1,0,1,0,0,1,1,0,1,1
10,       Brown ,     D ,    OH ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
11,        Burr ,     R ,    NC ,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0
12,    Cantwell ,     D ,    WA ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
13,      Capito ,     R ,    WV ,0.5,1,1,1,1,0,1,1,1,1,0,0,1,0,0
14,      Cardin ,     D ,    MD ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
15,      Carper ,     D ,    DE ,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
16,       Casey ,     D ,    PA ,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1
17,     Cassidy ,     R ,    LA ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
18,       Coats ,     R ,    IN ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
19,     Cochran ,     R ,    MS ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
20,     Collins ,     R ,    ME ,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
21,       Coons ,     D ,    DE ,1,0,0,1,0,1,0,1,0,0.5,1,1,0,1,1
22,      Corker ,     R ,    TN ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
23,      Cornyn ,     R ,    TX ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
24,      Cotton ,     R ,    AR ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
25,       Crapo ,     R ,    ID ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
26,        Cruz ,     R ,    TX ,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
27,      Daines ,     R ,    MT ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
28,    Donnelly ,     D ,    IN ,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
29,      Durbin ,     D ,    IL ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
30,        Enzi ,     R ,    WY ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
31,       Ernst ,     R ,    IA ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
32,   Feinstein ,     D ,    CA ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
33,     Fischer ,     R ,    NE ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
34,       Flake ,     R ,    AZ ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
35,     Franken ,     D ,    MN ,1,0,0,1,0,1,0,1,0,0.5,1,1,0,1,1
36,     Gardner ,     R ,    CO ,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
37,  Gillibrand ,     D ,    NY ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
38,      Graham ,     R ,    SC ,0,1,1,1,1,0,1,1,0.5,0.5,0,0,1,0,0
39,    Grassley ,     R ,    IA ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
40,       Hatch ,     R ,    UT ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
41,    Heinrich ,     D ,    NM ,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
42,    Heitkamp ,     D ,    ND ,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
43,      Heller ,     R ,    NV ,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0
44,      Hirono ,     D ,    HI ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
45,      Hoeven ,     R ,    ND ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
46,      Inhofe ,     R ,    OK ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
47,     Isakson ,     R ,    GA ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
48,     Johnson ,     R ,    WI ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
49,       Kaine ,     D ,    VA ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0
50,        King ,     I ,    ME ,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
51,        Kirk ,     R ,    IL ,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
52,   Klobuchar ,     D ,    MN ,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
53,    Lankford ,     R ,    OK ,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
54,       Leahy ,     D ,    VT ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
55,         Lee ,     R ,    UT ,0,1,1,0,1,0,1,1,0.5,0.5,0,0,1,0,0
56,     Manchin ,     D ,    WV ,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
57,      Markey ,     D ,,,,,,,,,,,,,,,,
